Speaker,Keynote,Mentor,Judge,First Name,Last Name,ID,Filename,MIT association,Title,Bio,"Marketing permission given?
(Does not influence website visibility)"
Y,N,N,N,Peetachai,Dejkraisak,PeetachaiDejkraisak,neil.JPG,N,"Co-founder and CEO, Siam Organic Co., Ltd.","Neil is a CEO and co-founder of Siam Organic Co., Ltd, a social enterprise that was established with a mission to alleviate the problem of poverty among Thai farmers. Founded in 2011, Siam Organic solves the problem of farmers poverty through innovative organic products with a global appeal under the brand Jasberry®. Siam Organic currently works with over 1,000 small-scale farmers households in the Northeastern part of Thailand helping them to increase their income by several folds. Neil is a former investment banker from Capital Nomura Securities PCL. He holds a MBA degree from Sasin Graduate Institute of Business Administration of Chulalongkorn University, with Exchange program at Kellogg School of Management, and Dual Bachelor Degree on Environmental Engineering & Economics from University of Melbourne.",yes
Y,N,N,N,Noppadol,Dej-Udom,NoppadolDej-Udom,Noppadol.jpg,N,"Vice Chairman of the Executive Committee, True Corporation ","Mr. Noppadol is currently the SCG Vice Chairman and Chief Sustainability Officer of CP Group and the Vice Chairman of the Executive Committee of True. He has played an important role in raising the bar of CP Group’s sustainability. Prior to these positions, he was True’s Deputy CEO for Corporate Development and Group CFO. Under his leadership, Thailand’s first and largest telecommunications infrastructure fund was established. He also received the 2015/2016 Best CFO Awards in technology category from IAA and was selected as the Best CFO from FinanceAsia. Mr. Noppadol received his Master Degree in Business Administration from Sasin Graduates Institute of Business Administration and Bachelor Degree in Mechanical Engineering from Rensselaer Polytechnic Institute, USA.",yes
Y,N,N,N,Harprem,Doowa,HarpremDoowa,doowa.jpg,N,"Co-founder and MD, E-Direct Thailand","Harprem Doowa is currently the Co-founder and MD of E-Direct Thailand. Before this he was the co-founder and MD of Moxy/Orami Thailand growing the company from inception to a valuation of $50 million. Prior to Moxy/Orami, Harprem was in the financial sector working under the private equities and derivatives division of a local firm where he managed high net-worth individuals and a portfolio over 1 billion THB. He also holds an MBA from Sasin/Northwestern University with a major in entrepreneurship and international business. He also has a strong operational and sales background.",yes
Y,N,N,N,Dr. Anna,Douglas,Dr.AnnaDouglas,anna.jpg,N,"Co-founder and CEO, SkyNano","Anna Douglas is a scientist-entrepreneur and the CEO and co-founder of SkyNano, LLC. She is a Ph.D. student in interdisciplinary material science at Vanderbilt University in Nashville, Tennessee. As a National Science Foundation Graduate Student Fellow since 2015, she has primarily focused her studies on next-generation batteries for electrochemical energy storage, and has developed the growth of high quality carbon nanotubes from ambient carbon dioxide, which is the basis for her startup company SkyNano. Anna is passionate about the promise of nanotechnology for next-gen energy generation and storage technologies, and currently works full time on her SkyNano venture through the Innovation Crossroads program at the US Department of Energy’s Oak Ridge National Laboratory in Oak Ridge, Tennessee.",yes 
Y,N,N,N,Nithima,Ducrocq,NithimaDucrocq,nithima.jpg,N,"Co-founder and COO, YesMom","Nithima has been working with early stage startups for the past 3 years, being product owner and facilitating workshops using human-centered design. She is now co-founder of yesmom, an healthtech startup that aims at empowering women to take better healthcare decisions. Breaking taboos about sexual and reproductive health, yesmom already deliver personalized and trusted medical insights for thousands of women and is currently developing an AI assisted, virtual consultation service with healthcare professionals. Nithima has always been interested in social impact, first working with NGOs and international organizations, and then turning to innovation and tech, where she believes she can reach people better.",Yes 
Y,N,N,N,Dr. Peter,du Pont,Dr.PeterduPont,dupont.jpg,N,"Clean Energy Advisor and Associate, Stockholm Environment Institute Asia","Peter du Pont is based in Bangkok and has more than 30 years’ experience developing sustainable energy and climate programs in the U.S. and Asia.  He has carried out assignments related to the design, implementation, and evaluation of clean energy policy and plans, energy finance, and climate change programs.  He has worked in a variety of roles consulting and managing for non-profit and private consultancies and development agencies, with a focus on energy efficiency, renewable energy, finance and market incentives, and climate change.  He has a masters degree in Public Health from the University of California, Berkeley, and a Ph.D. in Public Policy from the University of Delaware.",yes 
Y,Y,N,N,Dr. Pichet,Durongkaveroj,Dr.PichetDurongkaveroj,pichet.jpg,N,Minister of Digital Economy and Society,"Dr. Pichet Durongkaveroj has assumed his position as Minister of Digital Economy and Society since December 2016. Prior to that he held the Minister of Science and Technology portfolio for over two years during which many progressive changes have been widely implemented. An outstanding career in the field of public policy, he has contributed to his country the design, formulation, and implementation of major national policies including science & technology, innovation, ICT, e-commerce, and education. His contributions have also been extended to international collaboration notably to ASEAN, APEC, UNCTAD, OECD, WHO, ITU etc., as well as establishing effective scientific diplomacy to bilateral, multilateral relations, and inter- agency collaborations.",yes
Y,N,N,N,Ian,Fenwick,IanFenwick,ian.jpg,N,"Interim Deputy Director, Sasin School of Management","Ian Fenwick is Interim Deputy Director, Sasin School of Management (Bangkok), Professor Emeritus & Senior Scholar at Schulich School of Business (Toronto), and Visiting Professor of Marketing at Porto Business School (Porto) teaching graduate and executive programs in digital marketing. Ian co-authored DigiMarketing: The Essential Guide, Wiley & Sons, 2008. Norman Pearlstine (Chief Content Officer, Bloomberg LP) hailed DigiMarketing as “the definitive guide to marketing in the digital age”. Native language editions appeared in Japan, PRC, Russia, Taiwan, Thailand, and Vietnam. Ian’s most recent venture, AnyPrep LLC, delivers streaming videos to prepare students for business school. Previous experience includes founding partner of digiAindra co ltd (a digital marketing consultancy); many years as Director of one of Canada’s top-ranked MBA Programs; Senior Branding and Marketing Consultant at Business Generation Group Inc.; and Senior Consultant to Market Facts of Canada Ltd.",yes
Y,N,N,N,Todd,Glickman,ToddGlickman,glickman.jpg,Y,"Senior Director, MIT Corporate Relations","Todd Glickman is Senior Director of MIT Corporate Relations that operates the MIT Industrial Liaison Program (ILP) and MIT Startup Exchange. He is responsible for strategic oversight and operations for much of the office’s activity across most of Asia, as well as aerospace/defense and related organizations in the US. Before joining the staff of MIT in 2000, Mr. Glickman was Assistant Executive Director of the American Meteorological Society from 1993-2000, and previously held a variety of management positions in the private sector. Mr. Glickman holds a Bachelor of Science Degree in Earth and Planetary Sciences from MIT, and the Executive MBA from Suffolk University.",Yes
Y,N,N,N,John,Grant,JohnGrant,Grant.jpg,Y,"Senior Lecturer, MIT Sloan School of Management","John Grant is a Senior Lecturer at the MIT Sloan School of Management.  His focus is the intersection of the domains of strategy, entrepreneurship, and strategic management.  As a practitioner faculty in Action Learning courses at MIT Sloan, he mentors MBA teams working with Sponsor organizations, with particular focus in China, India and Southeast Asia. Mr. Grant’s management career was in global strategy consulting.  He also has been a member of startup teams for new ventures in healthcare, energy services, and biotechnology, either as chief operating officer or chief financial officer. Mr. Grant holds degrees from the U. of Washington and MIT.",yes 
Y,N,N,N,Andrew,Gulbrandson,AndrewGulbrandson,andrew.jpg,Y,"Head of Research & Consulting, JLL Thailand","Andrew is the Head of Research & Consulting for JLL in Thailand and Myanmar. In this role, Andrew contributes to and leads the production of regular and bespoke local research publications on Thai and Myanmar real estate markets as well as contributing to global and regional research publications. Since joining JLL’s Research and Consulting group in 2013, he has successfully led or participated in more than 80 consultancy engagements, including numerous highest and best use studies, feasibility studies, portfolio analyses and market entry studies. Experience Prior to joining JLL Andrew spent seven years consulting widely across East and Southeast Asia, including extensive experience in Thailand, Myanmar the Philippines and China, for the World Bank, the Asian Development Bank, JICA, as well as various large public and private sector organisations including national government agencies and leading real estate developers. Andrew obtained his Bachelors 2007 from Arizona State University and Master in City Planning in 2010 from the Massachusetts Institute of Technology.",yes
Y,N,N,N,Aditi,Gupta,AditiGupta,aditi.jpg,Y,"MIT Health Sciences Technology,
MIT GSW 2017 Lead",,yes
Y,N,N,N,Dr. Paul Apivat,Hanvongse,Dr.PaulApivatHanvongse,Hanvongse.jpg,N,"Co-founder and Head of Education, LEARNx","Paul was previous the co-founder of LEARNx, a platform that helps Thais communicate in English with confidence, accelerating their growth, development and careers – at scale. He’s currently an advisor to Learn Corpration (parent company to LEARNx) and an independent consultant/researcher focusing on organizational transformation and technology. Paul is also an adjunct lecturer at the Global Studies and Social Entrepreneurship (GSSE) Bachelors of Arts program at Thammasat University where he’s growing future social change leaders for a more equitable world. Paul holds a Bachelor’s degree in Economics from Thammasat University; a Master’s in Industrial-Organizational Psychology from the University of Tulsa, and a Doctorate in Social-Organizational Psychology from Columbia University.",Request sent 02.13.18
Y,N,Y,N,Kit,Hickey,KitHickey,Kit-Hickey.jpg,Y,"Entrepreneur in Residence, MIT Martin Trust Center and Lecturer, MIT Sloan School of Management","Kit Hickey is an Entrepreneur-in-Residence at the Martin Trust Center for MIT Entrepreneurship and a Lecturer at MIT Sloan School of Management. Kit is co-founder of Ministry of Supply, which is a pioneer in fashion’s performance-professional category.  The company uses technology and advanced manufacturing to reinvent what people wear to work.  Ministry of Supply has been featured in the New York Times, Fast Company, Wall Street Journal and on the TODAY Show.  While at the company, Kit led and build out numerous high performing teams, including Customer, Revenue, E-Commerce and Retail.  As Chief Retail Officer, Kit spearheaded the company’s expansion into retail, opened 10 stores, managed a team of 50 and conceptualized and developed the company’s revolutionary 3-D print-knit experience.  In this innovative store experience, customers could design and create blazers on demand, which are then 3D printed in the retail store, changing the conversation on traditional retail supply chain, manufacturing, sustainability and customer experience. Prior to Ministry of Supply, Kit started a nonprofit which helped entrepreneurs in emerging markets gain access to financing.  The nonprofit merged with BiD Network, a Netherlands-based company with a similar mission.  Before that, she worked in investment banking, where she advised early-stage companies raise Series A and Series B funding. Kit teaches two to three entrepreneurship classes per year at MIT.  She is the lead instructor for the Building an Entrepreneurial Venture: Advanced Tools and Techniques, one of the most advanced classes offered for entrepreneurial teams.  She also teaches Dilemmas in Founding New Ventures, which she designed to teach students who will start or join startups about the people issues and organizational challenges that innovative entrepreneurial ventures face.",Yes 
Y,N,Y,N,Chris,Howard,ChrisHoward,howard.jpg,Y,"CEO, Libboo.com","Chris is a prolific builder and founder of projects and businesses that aim to push boundaries in both entrepreneurship and the creative industries. Having tried and failed at half a dozen 'traditional' careers - including being a professional chef, a music producer, a 'professional cyclist' and even a spy - Chris first embraced true entrepreneurship at MIT by creating the world's first crowd-sourced science novel with the goal of encouraging more young people into STEM and founding the celebrated venture-backed company, Libboo.com. Several high-profile start-ups later and a short tenure as the Head Teaching Fellow of Harvard University, Chris now resides in London as the Founder of We Are Optimists - the UK's leading 'Entrepreneurs for Hire' network, and the Entrepreneur in Residence at Techstars and University College London, supporting high-impact Scale-Up CEOs achieve their goals in a demanding and competitive world.",Yes
Y,N,N,Y,Christian,Huder,ChristianHuder,huder.jpg,N,"Founder, innergy.berlin","Christian founded innergy.berlin in 2013 which is a consultancy specialized in innovation management in the field of energy, clean tech and digitalization. His preferred method to bring innovation to life is building start-ups, whose development he is supporting in many ways. Among them are company builder activities, jury and mentor roles in many accelerators and start-up competitions, as well as corporate start-up collaboration and ecosystem development. He furthermore helps start-ups to receive financing and acts as an angel investor. Together with DENA he is currently bringing the second edition of the global Start Up Energy Transition Award to life. Beyond that, his recent main project has been building the innogy Innovation Hub in Berlin as well as scouting and investing in early stage startups. His current passion is the Token Economy, because blockchain based tokens are enabling whole new business models and incentive architectures, that can be a crucial building block towards a sustainable economy that we need in order to prevent climate change happening.",Yes
Y,N,Y,N,Travis,Hunter,TravisHunter,travis.jpg,Y,"Program Manager, MIT Regional Entrepreneurship Acceleration Program","Travis joined MIT in 2016 to support the MIT Regional Entrepreneurship Acceleration Program (MIT REAP). MIT REAP works with up to 8 regions annually on strategies to support innovation-driven entrepreneurship (IDE). Travis was previously the Director of the Quincy Center for Innovation (QCI), where he expanded the program to support over 50 startups spanning 16 industries. During this time at the QCI, Travis oversaw partnerships with private and public organizations, expanded programming, and brought together funding opportunities for incubated startup companies. Travis also has a strong personal interest in real estate development and sustainability. ",yes 
Y,N,N,N,Dan,Itsara,DanItsara,dan.jpg,Y,"Co-founder and COO, Glazziq","Dan Itsara is Chief Operating Officer at Glazziq, an ecommerce retailer of prescription eyeglasses and sunglasses. He focuses on building digital products to deliver a seamless customer experience, automate complexity within the supply chain, and ultimately build a business that scales like a cloud service. Previously, he served in the US Air Force as an experimental flight test engineer, where he developed strike and unmanned aircraft technologies, and was a product manager at Amazon Instant Video, where he managed video data services critical to Amazon's expansion into the UK and Japan.
Dan holds a Bachelors of Science in Electrical Engineering and Computer Science from MIT, a Masters of Science in Aerospace Engineering from the University of Southern California, and an MBA from the Michigan Ross School of Business.",Yes
Y,N,N,N,Jarung,Kiatsupapong,JarungKiatsupapong,jarung.jpg,N,"Managing Director, Kasikorn Soft Co. Ltd.","Jarung Kiatsupapong is Managing Director of Kasikorn Soft Co., Ltd, a member of KBTG (Kasikorn Business Technology Group), a technology arm of Kasikornbank. A banking veteran with over twenty years of experience, he is responsible for the development of all banking applications and oversees the entire application architecture at Thailand's leading bank. Previously, Jarung held technology leadership positions at Bank of Asia, and United Overseas Bank. Among many contributions to Thailand’s banking system, he recently implemented the world's first blockchain-based LG (Letter of Guarantee) service. Jarung holds a Bachelor of Computer Engineering degree from Kasetsart University, a Master of Science in Information Technology from King Mongkut Institute of Thailand and an Executive MBA from Sasin School of Management.",
Y,N,Y,N,Aung,Kyaw Moe,AungKyawMoe,aung.jpg,Y,"Founder and CEO, 2C2P","Aung Kyaw Moe is the founder and Group CEO of 2C2P, a Singapore-headquartered payment solutions company serving financial institutions, e-commerce merchants and consumers across Southeast Asia. 2C2P has offices in nine Southeast Asia countries. He hails from Myanmar but has now lived in Singapore and Thailand for the past twenty years. Aung is the leading expert in digital payment and thought-leader in the FinTech industry.
Aung holds an Executive MBA from the Sasin School of Management. He also holds ACE from Massachusetts Institute of Technology Sloan School of Management. Aung is currently participating in the Owner/President Management program at Harvard Business School.
He was recognized as one of Asia's Top 25 Entrepreneurs by Business Week Magazine in 2009, and by the World Economic Forum as a think-tank member. Aung has also won several programming competitions throughout his career, including winning the Grand Prize at Nokia Calling All Innovators (2009), and the Mobile Payments Solution award at the Global Mobile Innovation Show (2010).",Yes -- from Sasin 
Y,N,N,N,Dr. Jiraporn,Laothamatas,Dr.JirapornLaothamatas,jiraporn.jpg,N,"Director of Advanced Medical Imaging Center, Ramathibodi Hospital of Mahidol University","Dr. Jiraporn Laothamatas is the Director of Advanced Medical Imaging Center at Ramathibodi Hospital of Mahidol University. She is a board-certified diagnostic radiologist and physician-scientist. Her most recent work includes innovative ways of detecting neurologic changes and chronic traumatic injuries through radiographic imaging in the pediatric population, particularly child boxers. Dr. Laothamatas received her MD from Chulalongkorn University, Thailand with honors in 1981, and pursued Neuroradiology Fellowship at Hahnemann University Hospital, Pennsylvania in the US in 1990. ","No (she never responded to our emails, so we actually had to write her bio)"
Y,N,N,N,Dr. Karndee,Leopairote,Dr.KarndeeLeopairote,karndee.jpg,N,"Co-Founder and CEO, ICORA","As a Managing Director of Casean, Karndee Leopairote aims to build a networking platform for collaboration among startups and future generation across the region to support the development of ASEAN community through various connectivity initiatives. Prior to C asean, Karndee was an assistant professor at the Department of Operations Management, Thammasat Business School and an executive director of the Future Innovative Thailand Institute. As an academician and a thought leader in Thailand, Karndee has put her continuing effort to improve innovative and global mindsets to the young startups and the future generation.
Karndee holds BEng in Industrial Engineering from Sirindhorn International Institute of Technology, Thammasat University, MS and PhD in Industrial Engineering from University of Wisconsin - Madison, USA.",yes
Y,Y,N,N,Dr. Richard,Lester,Dr.RichardLester,lester.jpg,Y,"Associate Provost, Massachusetts Institute of Technology","Richard Lester is the Japan Steel Industry Professor and Associate Provost at the Massachusetts Institute of Technology, where he oversees the international activities of the Institute. From 2009 to 2015 he served as head of MIT’s Department of Nuclear Science and Engineering, leading the Department successfully through a period of rapid rebuilding and strategic renewal.
Professor Lester’s research is concerned with innovation strategy and management, with a frequent focus on the energy and manufacturing sectors. He is widely known for his work on local, regional, and national systems of innovation, and he has led major studies of national and regional competitiveness and innovation performance commissioned by governments and industry groups around the world. He is the founding director and faculty chair of the MIT Industrial Performance Center. Professor Lester’s research is concerned with innovation strategy and management, with a frequent focus on the energy and manufacturing sectors. He is widely known for his work on local, regional, and national systems of innovation, and he has led major studies of national and regional competitiveness and innovation performance commissioned by governments and industry groups around the world. He is the founding director and faculty chair of the MIT Industrial Performance Center.
Professor Lester’s latest book, Unlocking Energy Innovation: How America Can Build a Low-Cost, Low-Carbon Energy System (written with David Hart), outlines a strategy for mobilizing America’s innovation resources in support of a decades-long transition to an affordable and reliable low-carbon global energy system. Professor Lester is also the author or co-author of seven other books, including: The Productive Edge: A New Strategy for Economic Growth; Innovation—The Missing Dimension (with Michael Piore); Making Technology Work: Applications in Energy and the Environment (with John Deutch); Made in America: Regaining the Productive Edge (with Michael Dertouzos and Robert Solow); and Radioactive Waste: Management and Regulation (with Mason Willrich.).
Professor Lester obtained his undergraduate degree in chemical engineering from Imperial College and earned his Ph.D. in nuclear engineering from MIT. He has been a member of the MIT faculty since 1979. He is an advisor to governments, corporations, foundations and non-profit groups, and he serves as chair of the National Academies’ Board on Science, Technology, and Economic Policy.",Yes
Y,N,N,Y,Pita,Limjaroenrat,PitaLimjaroenrat,pita.jpg,Y,"Executive Director, Grab Thailand","Pita Limjaroenrat has been the Executive Director of Grab Thailand since October 2017. He is primarily responsible for providing strategic guidance in leveraging business efficiency and strong collaboration with all relevant stakeholders with the goal to bring betterment to the community of driver-partners, passengers as well as to society. He also serves as managing director/ Co-Founder of CEO Agrifood Co., Ltd., the third largest rice bran oil producer in ASEAN. At the age of only 25, he became a successful tycoon who had turned the family business after his father's death. He was awarded APEA Entrepreneur of the year 2015 for Thailand. Prior to joining Grab Thailand, Pita had a wide range of public private partnership experiences. On public sector, he served as National Economic Development officer under Dr. Suvit Maecinsee, Minister of Prime Minister's office in 2006, Assistant to the Thai Government’s Foreign Affairs Committee from 2013 – 2014 and an Advisor to the Industry Minister from 2012 – 2013. On private sector, He worked at Merrill Lynch Phatra and Boston Consulting Group. Pita graduated with a bachelor’s degree from Thammasat University in 2005. In 2012 he concurrently earned a Master’s degree in Public Policy from Harvard University and an MBA from the Massachusetts Institute of Technology. Apart from being a successful businessman,Tim also enjoys Thai boxing, Oil painting, and photography as well as spending his free time with his wife and young daughter. ",Yes 
Y,N,N,N,Jun,Lin,JunLin,jun.jpg,N,"Director of Business Development and Business Intelligence, 17zuoye.com","Jun Lin is in charge of Business Development and Business Intelligence at 17zuoye.com (a.k.a Homework Together), the largest online homework platform, also a unicorn company for K12 students in China. Jun has 3 years of experience with China market expansion and partnership strategies in EdTech field. Jun is also a Global Shaper under World Economic Forum, where she takes part in different projects to create positive social impact. Jun receives her education from the London School of Economics and has prior experience in management consulting and building startups of her own.",Yes
Y,N,N,N,Ketan,Makwana,KetanMakwana,Ketan1.jpg,N,"Founder and CEO, Enterprise Lab","Ketan Makwana is a renowned international & TEDx Speaker, serial entrepreneur, author and mentor that has started, scaled a sold multiple businesses in the last 7 years. Ketan launched Enterprise Lab in 2011 which has evolved into an award winning  disruptive agency supporting businesses to engage ideation, innovation and leadership through auditing, consultancy and training; since launching Enterprise Lab having served 500,000 people across the world. In 2012 Ketan founded and delivered Youth Enterprise Live the UK’s largest event focussed on Education, Employment and Enterprise for 15-30 year olds… leading on from this took a position as Special Advisor to the former Prime Minster (David Cameron) on Youth Policy. Ketan is an advisor to UK & International Governments/Ministries on Enterprise Eco-System Development; he sits on many advisory boards and panels including the  British Council and is an ambassador of UKTI and Foreign & Commonwealth Offices related to Enterprise development in countries across the globe.",yes 
Y,N,N,N,Wicharn,Manawanitjarern,WicharnManawanitjarern,charn.png,N,"Co-founder and CEO, Taamkru","Wicharn is the CEO and co-founder of Taamkru, Thailand’s leading EdTech company, which won the e27 Echelon’s 2014 Most Promising Startup award.  Taamkru offers a variety of education applications catering to students of all ages, parents, and schools.  Every year, Taamkru products have enhanced academic performance of hundreds of thousands of students, improved operational efficiency of thousands of teachers, and given parents and school management access to in-depth students analytical data they never thought possible.  Prior to Taamkru, Wicharn has co-founded Haamor.com, #1 healthcare portal of Thailand, serving the daily needs on medical information of millions of Thai people.  Wicharn holds an MBA in Global Management from Thunderbird and a BS in Chemical Engineering and a BA in Economics from Worcester Polytechnic Institute. ",yes 
